LULC,Class,RC_code,PNAS,Floral_Spring,Floral_Summer,Floral_Fall,,Nest_Ground,Nest_Cavity,Nest_Stem,Nest_Wood
0,Open Water,28,Open Water,0,0,0,,0,0,0,0
1,Corn,1,Corns,0.090253829,0.274707428,0.132309482,,0.14518538,0.089476416,0.106943738,0.10261136
2,Cotton,3,Cotton,0.396448568,0.31604149,0.16558153,,0.335589776,0.228677874,0.233529333,0.277444181
3,Rice,2,Grains,0.110088963,0.282181725,0.133478147,,0.151306742,0.139451435,0.108997568,0.10245277
4,Sorghum,1,Corns,0.090253829,0.274707428,0.132309482,,0.14518538,0.089476416,0.106943738,0.10261136
5,Soybeans,5,Beans,0.243595537,0.397150839,0.185867474,,0.199328594,0.115686432,0.126317412,0.147060586
6,Sunflower,11,Flowers,0.437253026,0.679938714,0.418161766,,0.22765865,0.088344192,0.107233142,0.04915673
10,Peanuts,5,Beans,0.243595537,0.397150839,0.185867474,,0.199328594,0.115686432,0.126317412,0.147060586
11,Tobacco,4,Tobacco,0.299913082,0.277177569,0.238069355,,0.220473008,0.259596975,0.223369164,0.277817333
12,Sweet Corn,1,Corns,0.090253829,0.274707428,0.132309482,,0.14518538,0.089476416,0.106943738,0.10261136
13,Pop or Orn Corn,1,Corns,0.090253829,0.274707428,0.132309482,,0.14518538,0.089476416,0.106943738,0.10261136
14,Mint,7,Herbs,0.301844164,0.559804371,0.326813471,,0.259953769,0.100175558,0.07840149,0.049083563
21,Barley,2,Grains,0.110088963,0.282181725,0.133478147,,0.151306742,0.139451435,0.108997568,0.10245277
22,Durum Wheat,2,Grains,0.110088963,0.282181725,0.133478147,,0.151306742,0.139451435,0.108997568,0.10245277
23,Spring Wheat,2,Grains,0.110088963,0.282181725,0.133478147,,0.151306742,0.139451435,0.108997568,0.10245277
24,Winter Wheat,2,Grains,0.110088963,0.282181725,0.133478147,,0.151306742,0.139451435,0.108997568,0.10245277
25,Other Small Grains,2,Grains,0.110088963,0.282181725,0.133478147,,0.151306742,0.139451435,0.108997568,0.10245277
26,Dbl Crop WinWht/Soybeans,6,Dbl Crop,0.281888027,0.27020218,0.264372088,,0.304927096,0.274422564,0.268312617,0.30460441
27,Rye,2,Grains,0.110088963,0.282181725,0.133478147,,0.151306742,0.139451435,0.108997568,0.10245277
28,Oats,2,Grains,0.110088963,0.282181725,0.133478147,,0.151306742,0.139451435,0.108997568,0.10245277
29,Millet,2,Grains,0.110088963,0.282181725,0.133478147,,0.151306742,0.139451435,0.108997568,0.10245277
30,Speltz,2,Grains,0.110088963,0.282181725,0.133478147,,0.151306742,0.139451435,0.108997568,0.10245277
31,Canola,17,Oilseed,0.496465546,0.550024857,0.227572429,,0.21557879,0.13093173,0.137128592,0.145261452
32,Flaxseed,17,Oilseed,0.496465546,0.550024857,0.227572429,,0.21557879,0.13093173,0.137128592,0.145261452
33,Safflower,17,Oilseed,0.496465546,0.550024857,0.227572429,,0.21557879,0.13093173,0.137128592,0.145261452
34,Rape Seed,17,Oilseed,0.496465546,0.550024857,0.227572429,,0.21557879,0.13093173,0.137128592,0.145261452
35,Mustard,17,Oilseed,0.496465546,0.550024857,0.227572429,,0.21557879,0.13093173,0.137128592,0.145261452
36,Alfalfa,8,Alfalfa,0.244081763,0.523425185,0.22686515,,0.221531989,0.128522723,0.129169026,0.1480875
37,Other Hay/Non Alfalfa,10,Grassland/Pasture,0.395592242,0.531522188,0.403128187,,0.425365888,0.310420477,0.209203201,0.091894112
38,Camelina,17,Oilseed,0.496465546,0.550024857,0.227572429,,0.21557879,0.13093173,0.137128592,0.145261452
39,Buckwheat,9,Buckwheat,0.276428267,0.55282229,0.323434146,,0.236346784,0.131365086,0.123460427,0.145611961
41,Sugarbeets,12,Root Vegs,0.178925351,0.286312036,0.176730867,,0.349755484,0.177611878,0.155179133,0.189341899
42,Dry Beans,5,Beans,0.243595537,0.397150839,0.185867474,,0.199328594,0.115686432,0.126317412,0.147060586
43,Potatoes,13,Solanums,0.300536978,0.425043757,0.245332653,,0.214946485,0.175092043,0.136704289,0.147800968
44,Other Crops,14,Other Crops,0.290145004,0.352122635,0.265981732,,0.281912444,0.24431177,0.292141142,0.294531168
45,Sugarcane,2,Grains,0.110088963,0.282181725,0.133478147,,0.151306742,0.139451435,0.108997568,0.10245277
46,Sweet Potatoes,13,Solanums,0.300536978,0.425043757,0.245332653,,0.214946485,0.175092043,0.136704289,0.147800968
47,Misc Vegs & Fruits,15,Vegs & Fruits,0.264713231,0.390779865,0.197418447,,0.255982994,0.184228897,0.200330744,0.197184475
48,Watermelons,16,Watermelons,0.283772995,0.570464751,0.165146047,,0.246017892,0.103906518,0.078708573,0.049028769
49,Onions,12,Root Vegs,0.178925351,0.286312036,0.176730867,,0.349755484,0.177611878,0.155179133,0.189341899
